ID,ParticipantSex,ParticipantAge,CMVS1,CMVS2,CMVS3,CMVS4,CMVS5,CMVS6,CMVS7,CMVS8,CMVS9,CMVS10,CMVS11rc,CMVS12,CMVS13,CMVS14,CMVS15,CMVS16,CMVS17,CMVS18,CMVS19,CMVS20,CMVS21,CMVS22,CMVS23,CMVS24rc,CMVS25rc,CMVS26rc
1,2,38,5,2,2,4,6,3,3,5,5,6,5,5,5,4,2,3,4,5,6,3,4,4,6,6,6,4
2,2,45,4,4,3,3,3,4,3,2,4,4,5,7,1,7,7,7,7,4,4,6,4,4,3,1,1,1
3,2,47,3,3,6,6,3,7,6,7,7,3,6,1,1,1,7,7,6,2,2,5,2,3,3,1,1,1
4,2,23,6,6,5,5,4,4,5,5,4,6,4,5,4,5,5,4,5,5,6,4,4,5,4,4,3,3
5,2,26,4,3,3,4,3,3,4,6,3,4,3,3,3,5,3,4,4,4,3,4,3,4,5,5,4,4
6,2,23,6,5,5,3,4,4,5,5,5,5,4,4,4,4,4,4,5,5,5,4,5,4,4,5,5,4
7,2,41,2,7,6,1,7,3,4,4,1,6,2,5,2,2,6,2,1,2,2,5,6,2,4,7,3,7
8,2,24,5,4,5,4,5,5,4,4,5,4,5,5,5,5,4,3,4,4,4,3,3,3,4,5,4,5
9,2,37,2,2,2,3,3,5,1,2,2,2,6,2,2,2,2,2,2,2,1,2,3,2,2,5,5,6
10,2,23,5,4,6,4,3,3,2,5,4,5,3,5,4,3,3,3,6,5,6,5,4,3,6,3,4,5
11,2,29,3,4,5,4,4,4,4,4,4,3,5,4,4,4,5,4,4,3,3,4,4,4,5, ,5,3
12,2,36,2,2,2,2,2,2,2,2,2,2,4,4,3,2,4,4,4,2,2,2,2,4,2,2,4,4
13,2,28,4,3,2,2,2,4,2,3,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4
14,2,36,3,2,4,5,3,7,3,3,4,3,3,3,2,4,6,6,7,3,4,3,3,5,4,2,3,3
15,2,28,4,3,2,2,2,5,4,1,2,2,4,2,2,2,4,4,4,3,3,3,2,2,2,3,4,3
16,2,46,1,2,3,4,3,4,5,7,7,5,3, , ,7,7,7,7,4,5,4,2,6,2,1,1,1
17,2,30,3,3,2,3,2,7,5,6,6,6,5,3,3,7,7,7,7,7,3,3,3,2,1,1,5,1
18,2,40,3,3,3,5,3,7,7,3,3,3,2,1,1,1,7,7,7,1,1,7,3,7,3,1,1,1
19,2,51,4,4,4,4,4,4,3,5,4,4,4,4,3,4,4,4,6,4,4,4,4,4,4,1,4,4
20,2,28,4,3,2,2,2,5,2,1,2,2,4,2,2,2,4,2,3,3,3,3,3,3,4,3,4,4
21,2,59,1,1,1,1,1,1,2,2,2,4,2,1,1,1,6,7,7,2,2,2,2,2,2,1,1,6
22,2,66,2,4,6,6,6,6,4,4,6,6,7,1,1,1,7,7,7,7,7,7,4,4,6,1,1,1
23,2,37,2,2,2,2,2,6,2,2,2,2,2,1,1,1,2,3,3,2,2,2,2,2,2,2,4,4
24,2,34,5,5,7,7,7,7,2,2,2,2,2,1,1,1,7,7,7,7,6,7,4,5,3,1,1,1
25,2,28,4,3,3,3,3,5,5,5,5,4,5,3,3,2,5,6,6,3,3,5,4,5,4,4,3,4
26,2,23,2,3,2,3,3,3,5,6,6,5,2,2,2,5,6,4,7,6,3,2,3,6,3,1,1,1
27,2,48,2,3,3,3,3,7,1,1,5,3,2,1,1,7,7,7,7,2,2,3,3,3,3,1,1,3
28,2,50,2,2,2,4,2,3,5,5,4,4,4,1,1,1,7,7,7,2,2,4,2,7,2,6,4,2
29,2,36,1,2,3,3,1,3,3,3,4,6,2,1,2,2,2,4,4,2,2,2,3,5,5,2,3,5
30,2,34,7,5,4,3,5,3,7,7,5,4,4,7,7,5,2,2,2,5,4,7,6,4,7,7,6,6
31,2,50,1,1,1,4,1,1,7,7,4,4,6,7,7,7,7,7,7,2,1,1,2,5,4,1,1,1
32,2,53,2,3,4,6,2,6,5,5,5,6,6,1,1,2,6,6,6,2,2,5,4,6,6,2,1,2
33,2,38,4,2,2,5,2,3,2,1,3,1,2,1,1,1,5,6,6,2,2,4,3,6,5,1,2,2
34,2,23,4,4,4,4,4,4,7,7,4,7,1,4,4,4,4,7,4,4,4,4,4,4,4,4,4,4
35,2,42,3,3,3,4,3,3,4,5,5,5,3,2,2,4,7,7,7,2,2,4,1,4,1,4,4,4
36,2,61,2,2,2,3,2,4,3,4,5,3,2,4,1,2,6,7,7,2,2,3,2,6,3,1,5,1
37,2,49,2,2,2,2,2,2,3,3,2,2,4,4,2,4,5,6,7,2,2,2,2,2,2,1,2,4
38,2,36,7,7,6,7,7,7,6,4,4,3,7,7,7,6,3,2,1,6,5,7,7,7,7,7,6,7
39,2,33,4,4,5,6,4,7,5,5,5,3,6,2,2,2,6,6,6,4,6,4,5,6,5,2,2,2
40,2,27,1,1,6,1,1,7,7,1,1,1,1,1,1,1,7,7,2,1,1,1,7,2,1,7,1,1
41,2,53,3,3,4,5,3,4,5,5,5,6,5,6,3,4,6,7,5,2,2,5,3,6,2,1,2,3
42,2,67,2,2,2,4,2,4,6,3,6,4,2,1,1,2,7,7,6,4,4,5,2,6,2,1,1,1
43,2,32,1,1,1,1,1,1,6,2,1,2,7,2,2,2,6,1,2,2,3,2,2,3,3,3,6,5
44,2,33,2,2,2,2,2,3,5,6,4,5,6,1,1,1,7,7,7,2,4,4,2,4,2,1,2,2
45,2,25,4,4,4,4,4,3,5,6,5,6,5,2,2,1,6,6,6,4,4,4,4,4,4,4,4,4
46,2,46,6,5,6,2,5,7,2,2,2,4,7,7, ,6,1,1,1,5,6,5,6,2,5,7,5,6
47,2,29,3,5,3,3,4,4,5,5,5,5,5,3,2,2,6,6,6,2,2,3,3,3,5,5,5,5
48,2,54,4,3,3,3,3,6,4,4,5,4,6,2,2,2,4,4,4,1,1,1,1,4,4,4,7,2
49,2,32,3,2,2,2,2,2,5,5,5,6,6,1,1,1,6,6,6,2,2,2,2,4,2,2,2,2
50,2,41,4,6,6,7,7,4,3,7,6,5,6,7,2,5,7,7,7,4,6,5,4,6,4,1,1,1
51,2,24,1,1,1,1,1,1,1,1,1,1,1,7,1,1,7,7,7,1,1,1,1,1,1,1,1,1
52,2,55,1,1,2,4,3,5,2,1,4,1,1,4,3,3,5,7,7,3,4,3,1,5,1,1,1,4
53,2,26,2,3,3,5,2,4,3,3,5,5,5,3,3,5,7,7,7,3,4,3,2,3,2,2,5,5
54,2,32,2,2,2,2,2,2,2,2,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6
55,2,29,3,3,3,3,2,3,3,3,3,3,3,2,2,3,3,5,2,2,2,3,3,3,3,2,3,3
56,2,72,4,4,6,7,4,4,3,3,4,3,2,4,2,4,7,7,7,4,7,7,4,7,3,1,1,1
57,2,41,4,4,5,7,4,7,5,6,6,7,7,1,1,1,5,7,6,3,3,6,3,3,4,4,3,4
58,2,40,3,4,4,4,4,5,7,7,7,6,4,1,4,4,7,7,7,1,2,4,2,5,4,1,6,1
59,2,19,7,7,7,7,7,7,7,7,7,7,3,7,7,7,7,7,7,7,7,7,7,7,4,1,1,1
60,2,23,1,2,1,1,1,1,4,4,5,2,4,6,6,6,5,7,5,2,1,1,1,1,1,1,3,3
61,2,36,6,6,6,7,6,7,5,5,5,5,5,1,3,1,7,7,7,1,1,6,6,7,6,2,5,2
62,2,41,2,2,2,3,2,2,1,3,3,4,3,7,1,5,5,7,7,2,2,2,2,4,1,1,3,5
63,2,28,5,5,6,3,6,4,2,4,4,6,6,7,7,6,2,2,4,6,6,5,4,4,5,6,6,3
64,2,62,4,4,4,3,4,7,3,4,4,5,5,4,3,5,7,7,7,3,4,6,5,7,6,1,2,2
65,2,35,3,2,1,2,3,1,2,1,2,2,7,4,2,1,2,1,2,1,2,3,2,1,2,7,6,4
66,2,31,2,2,2,2,2,2,4,4,4,4,6,1,1,1,6,6,6,1,2,3,3,3,3,2,2,2
67,2,33,2,2,2,3,2,2,4,3,5,5,6,2,2,2,6,6,4,2,2,2,4,5,2,1,2,4
68,2,50,3,3,3,7,3,7,4,5,5,6,4,2,2,6,7,7,7,3,4,4,4,5,2,2,1,1
69,2,31,2,2,3,5,2,5,3,4,4,4,3,1,1,4,6,6,6,2,2,3,3,5,4,2,2,1
70,2,45,4,5,5,5,5,5,4,4,5,4,4,2,2,4,5,5,5,5,4,4,4,4,4,4,4,4
71,2,35,2,2,3,4,2,6,5,2,4,3,2,4,2,6,6,5,6,4,4,4,2,4,5,2,2,2
72,2,32,2,2,2,4,2,2,6,5,4,3,4,1,1,1,6,6,4,2,2,2,3,3,1,1,1,5
73,2,51,5,4,3,1,3,3,4,3,4,2,3,4,6,4,2,1,1,4,2,2,3,1,6,7,7,4
74,2,38,3,3,3,3,3,3,5,6,4,3,2,1,2,2,6,5,6,2,1,3,3,3,2,2,2,4
75,2,32,2,2,3,6,3,3,5,6,7,7,1,2,1,1,4,4,4,3,1,1,2,7,7,1,5,2
76,2,33,4,4,3,3,4,2,3,5,5,4,6,2,2,2,7,7,7,4,4,6,7,7,7,1, ,1
77,2,33,4,5,5,5,4,3,5,5,6,6,6,1,2,2,7,7,7,2,2,6,4,6,6,2,3,4
78,2,45,1,1,1,3,1,2,3,3,3,2,2,1,1,1,3,7,7,1,1,1,2,7,1,1,1,1
79,2,23,4,4,7,5,4,4,5,5,6,6,3,4,6,5,5,5,6,6,5,5,6,5,6,3,2,2
80,2,28,2,2,2,2,2,3,3,3,2,3,2,1,1,1,4,2,5,2, ,2,2,2,2,3,6,3
81,2,34,4,5,4,4,4,4,3,4,4,4,3,4,7,4,3,4,4,4,4,3,4,4,5,6,4,4
82,2,29,6,5,5,2,5,4,3,4,3,3,3,7,7,4,1,1,1,4,2,1,2,6,2,2,4,3
83,2,26,2,2,5,7,2,4,6,6,6,4,6,4,3,6,7,7,6,2,3,3,4,4,3,4,5,5
84,2,31,6,2,2,6,2,5,6,2,3,6,3,5,2,7,2,4,5,1,6,2,2,5,6,6,4,4
85,2,45,3,4,4,3,3,6,5,5,6,4,5,1,1,1,7,7,7,3,3,3,2,3,3,2,4,3
86,2,33,2,2,5,4,2,1,6,7,5,7,5,2,2,1,6,6,6,2,2,4,1,6,2,2,5,2
87,2,21,2,2,2,5,3,3,7,7,7,7,7,1,1,1,7, ,7,4,7,4,4,7,1,1,1,1
88,2,23,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,3,3,5,3,5,3,3,3,5
89,2,32,3,3,3,3,3,2,3,3,3,2,2,4,3,4,6,6,7,1,2,3,2,2,2,1,6,3
90,2,35,4,3,4,3,5,1,1,2,4,4,6,7,6,5,3,2,1,3,3,4,3,2,4,5,4,3
91,2,34,1,2,2,4,2,7,7,7,7,7,7,1,1,1,7,7,7,1,1,4,4,7,1,1,1,1
92,2,49,4,5,6,6,6,6,6,6,6,6,3,2,2,4,6,6,6,6,6,6,6,6,4,2,2,2
93,2,53,4,3,3,4,3,6,5,4,4,4,4,1,1,3,4,4,4,3,3,4,4,6,5,5,4,4
94,2,20,5,5,5,5,6,4,2,2,2,2,4,5,6,5,3,2,2,5,5,5,4,5,3,4,4,5
95,2,33,6,6,6,6,6,4,3,4,5,6,6,2,3,3,6,6,6,2,2,6,4,6,4,4,2,2
96,2,44,2,1,3,2,2,1,3,2,2,2,2,1,1,4,6,7,7,1,1,2,2,4,2,1,3,4
97,2,26,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,4,1,1,3,6,5
98,2,42,4,4,2,2,4,2,1,2,2,2,2,7,6,4,3,5,4,5,4,3,5,3,7,7,4,7
99,2,41,3,6,5,6,3,7,7,7,7,7,7,1,3,1,7,7,7,1,1,6,3,7,6,4,4,3
100,2,32,4,5,5,7,6,7,4,4,5,4,4,2,2,2,6,6,6,6,6,6,4,6,4,2,2,2
101,2,51,4,7,7,7,7,7,7,7,7,7,1,2,2,2,7,7,7,2,2,7,4,6,3,1,1,1
102,2,30,4,4,4,4,4,4,4,4,4,3,4,4,6,5,5,5,4,4,5,4,4,4,5,4,4,3
103,2,34,2,2,2,5,2,3,5,6,6,6,6,7,7,5,3,5,3,2,2,2,3,3,6,2,6,5
104,2,21,3,2,3,3,2,3,4,4,4,4,4,2,2,2,5,6,4,2,2,3,3,2,3,2,4,4
105,2,27,3,3,3,2,3,4,5,5,5,5,5,2,2,2,3,4,3,3,2,2,2,4,5,4,5,5
106,2,32,1,1,3,3,1,2,3,1,3,1,1,1,1,1,6,6,6,2,2,2,1,4,1,1,1,1
107,2,39,3,4,4,7,4,7,2,3,3,5,7,1,1,1,2,7,2,1,2,4,7,7,5,1,6,1
108,2,45,2,2,2,4,2,2,3,3,4,2,3,1,1,1,7,7,7,1,1,1,1,4,2,2,5,1
109,2,28,6,5,5,5,5,1,4,5,5,5,6,5,5,5,5,5,5,4,5,4,5,2,3,5,6,5
110,2,51,3,5,5,3,3,2,6,6,7,6,7,2,2,1,7,4,6,1,1,6,3,6,6,5,6,3
111,2,36,3,3,3,3,3,3,3,4,4,4,6,7,4,7,7,7,7,2,3,3,3,3,2,2,4,4
112,2,41,1,1,1,2,1,1,6,7,7,3,1,1,1,7,7,7,7,6,7,1,1,1,1,1,1,6
113,2,26,4,3,6,6,5,7,4,6,6,6,2,4,5,5,3,4,4,3,5,5,3,4,7,3,2,2
114,2,32,2,2,2,2,2,2,6,5,5,2,2,1,2,2,6,4,6,2,2,2,2,2,3,2,6,3
115,2,31,2,5,5,4,5,4,6,6,6,5,6,1,1,1,5,6,5,2,2,4,4,6,2,1,1,1
116,2,41,4,3,3,5,3,6,6,7,7,6,7,7,6,7,7,7,7,2,3,6,4,5,6,3,1,2
117,2,38,5,5,5,6,6,6,6,6,6,6,6,4,2,3,6,7,7,2,2,4,4,6,6,4,6,4
118,2,44,1,2,2,2,2,2,5,6,6,4,2,4,1,4,5,5,6,2,2,2,2,4,2,1,2,1
119,2,28,7,7,7,7,7,7,7,7,7,7,7,3,5,6,7,7,4,1,1,7,7,7,7,6,6,7
120,2,28,2,1,2,1,1,4,3,6,4,5,7,1,1,1,4,7,3,1,1,2,2,2,1,1,6,4
121,2,31,2,3,3,5,3,3,6,7,7,6,1,1,1,2,7,7,7,3,5,5,3,7,1,1,5,3
122,2,41,6,5,6,6,6,6,4,4,5,3,2,2,3,4,6,7,7,3,4,6,4,3,6,5,4,5
123,2,43,3,4,3,7,3,6,3,4,6,6,2,1,1,2,7,7,7,5,5,5,4,7,4,1,1,1
124,2,48,3,3,4,3,3,2,3,5,5,5,6,1,3,3,7,7,7,3,2,3,3,6,6,2,5,2
125,2,42,3,3,3,3,3,6,5,5,4,5,5,1,2,2,6,5,4,3,3,3,3,3,6,1,2,1
126,2,25,6,7,7,7,6,7,5,5,6,6,7,1,1,2,7,7,7,2,3,7,5,7,7,7,5,5
127,2,42,2,2,3,3,2,4,3,3,3,3,5,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3
128,2,26,4,3,4,4,3,2,4,3,4,4,3,3,4,4,5,6,4,2,3,3,4,5,4,3,4,3
129,2,30,5,5,5,5,5,6,4,5,4,6,5,1,5,1,3,2,4,6,1,4,4,4,2,2,2,3
130,2,30,6,5,4,5,5,7,7,7,7,6,5,5,4,7,6,3,3,2,3,5,4,6,4,1,1,5
131,2,26,2,6,6,6,6,6,3,4,3,3,5,4,2,2,4,5,3,1,1,7,3,6,3,2,5,1
132,2,71,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,7, ,7,7,1,1,1
133,2,53,7,7,7,7, ,4,5,5,6,2,2,6,1,1,4,6,2,2,1,1,1,4,2,1,7,7
134,2,28,6,6,6,6,6,6,7,7,7,7,6,2,4,5,7,7,7,1,1,7,6,7,6,4,6,6
