ParticipantID,ParticipantSex,ParticipantAge,ParticipantLTR,PartnerNumber,HadSex,AgeSex,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,MMS1,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,CMVS1,CMVS2,CMVS3,CMVS4,CMVS5,CMVS6,CMVS7,CMVS8,CMVS9,CMVS10,CMVS11,CMVS12,CMVS13,CMVS14,CMVS15,CMVS16,CMVS17,CMVS18,CMVS19,CMVS20,CMVS21,CMVS22,CMVS23,CMVS24,CMVS25,CMVS26,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,ZSDQ1,ZSDQ2,ZSDQ3,ZSDQ4
38,1,28,1,3,1,17,4,1,0,3,2,4,5,4,1,3,2,5,3,5,6,3,5,2,2,5,6,4,4,3,6,3,5,1,4,2,2, ,4,4,2,3,5,5,6,5,1,5,4,7,4,3,7,6,7,8,-2.11438963978465,.538352118707369,1.74956561300156,.504442937912773
40,1,31,1,1,1,27,1,1,0,5,4,4,5,5,3,2,1,1,2,1,2,4,3,4,4,5,1, ,1,1,2,5,4,3,4,4,3,3,2,2,3,2,3,4,4,4,6,6,6,7,7,4,5,2,3,4,.394169620347785,.538352118707369,.964833977758214,1.26317473387174
44,1,29,1,5,1,18,4,2,5,7,5,3,6,3,5,4,6,4,6,4,6,6,5,4,5,5,6,5,4,5,5,4,5,5,6,5,4,5,6,5,4,6,4,6,3,4,2,5,3,4,4,5,6,5,7,5,.394169620347785,.538352118707369,.964833977758214,-.254288858046192
49,1,36,1,30,1,18,5,5,3,7,6,1,1,1,5,3,6,6,7,6,7,1,1,1,1,1,1,1,1,1,1,7,1,1,4,1,1,1,1,1,2,2,1,2,7,6,6,2,2,3,6,6,7,4,3,4,1.23035604039193,1.42590561171141,1.74956561300156,2.0219065298307
50,1,23,1,3,1,17,2,1,14,5,5,5,3,5,5,5,5,4,4,5,5,5,4,5,3,4,6,5,4,5,4,3,4,5,6,4,4,4,5,4,6,4,4,3,3,3,4,4,6,7,6,5,5,6,7,6,-1.27820321974051,.538352118707369,1.74956561300156,1.26317473387174
51,1,27,1,0,2, ,1,1,0,4,3,2,3,2,3,3,3,2,3,3,2,5,5,5,6,5,6,5,4,5,3,5,4,5,5,5,5,4,4,2,3,4,5,6,3,5,4,6,8,6,5,4,4,3,2,2,.394169620347785,-.349201374296671,-.604629292728481,-1.77175244996412
67,1,37,1,2,1,21,2,2,10,6,6,7,5,6,7,6,6,7,3,6,7,7,7,7,7,7,7,7,7,5,6,1,7,4,5,6,6,7,6,4,6,6,3,6,2,1,2,5,7,7,3,8,4, ,5,6,.394169620347785,-.349201374296671,.964833977758214,.504442937912773
72,1,29,1,2,1,28,1,1,1,6,7,5,6,7,5,6,7,5,6,5,6,2,3,2,3,2,3,4,3,2,2,5,2,3,4,3,2,3,4,3,2,3,4,3,6,5,4,7,8,7,8,7,2,8,9,7,-1.27820321974051,.538352118707369,.964833977758214,.504442937912773
92,1,34,1,5,1,16,20,0,0,4,7,1,7,1,1,1,7,7,1,7,4,4,4,6,6,4,3,7,6,6,6,7,7,7,7,7,6,7,1,1,2,4,6,6,4,7,1,3,6,8,9,9,9,7,5,7,1.23035604039193,1.42590561171141,1.74956561300156,.504442937912773
102,1,49,1,6,1,21,4,4,100,6,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,3,4,2,2,2,5,4,6,4,4,4,-.44201679969636,.538352118707369,.964833977758214,.504442937912773
106,1,29,1,5,1,15,5,1,30,6,6,6,7,5,3,3,4,5,5,5,4,5,6,5,3,5,4,6,5,6,5,2, ,5,5,5,6,5,5,6,4,2,4,5,3,2,3,6,2,2,1,3,3,5,6,7,1.23035604039193,1.42590561171141,1.74956561300156,2.0219065298307
123,2,24,1,1,1,23,1,1,1,6,4,5,3,4,5,3,5,6,4,2,4,6,2,3,4,5,3,4,6,4,2,5,4,5,2,3,4,5,4,2,3,4,5,6,4,5,4,6,4,2,3,4,4,8,4,5,.394169620347785,.538352118707369,.180102342514866,-1.01302065400516
132,2,24,1,1,1,21,1,1,1,7,4,5,5,4,4,4,4,5,4,5,5,6,5,6,4,6,5,5,5,4,2,3,4,5,4,6,5,5,6,5,5,4,5,5,3,3,5,8,6,6,7,5,5,8,7,6,.394169620347785,1.42590561171141,.180102342514866,.504442937912773
161,2,29,1,2,1,19,2,1,5,6,6,5,6,6,6,5,7,6,5,6,7,3,1,2,3,2,1,2,2,1,1,6,3,2,2,1,2,3,1,2,2,3,2,1,6,7,6,7,5,6,6,7,1,7,6,7,.394169620347785,.538352118707369,.964833977758214,1.26317473387174
181,2,27,2,5,1,21,1,1,6,6,5,5,6,4,5,6,4,7,5,5,6,3,4,4,3,4,3,4,2,2,4,5,4,3,2,2,3,2,1,4,3,2,2,2,5,6,5,6,7,7,7,6,4,7,6,6,-.44201679969636,1.42590561171141,.964833977758214,-.254288858046192
200,2,31,1,3,1, ,1,1,1,6,5,7,6,5,6,5,7,6,7,7,5,2,3,2,1,2,2,1,2,2,3,6,3,2,3,2,1,2,2,2,2,3,2,3,7,7,6,8,7,8,8,8,1,8,7,9,1.23035604039193,1.42590561171141,1.74956561300156,2.0219065298307
215,2,58,2,10,1,17,10,0,0,2,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,5,5,5,5,6,5,5,5,5,5,5,3,2,4,4,4,4,4,6,3,5,5,5,5,5,5,5,5,5,-1.27820321974051,-.349201374296671,.180102342514866,-.254288858046192
217,2,28,1,5,1,18,5,3,4,7,6,6,7,6,7,6,5,6,5,6,6,1,3,2,2,3,2,2,3,2,2,7,2,1,1,2,2,1,2,2,2,2,1,2,6,6,6,8,6,7,8,5,2,8,6,7,.394169620347785,2.31345910471545,1.74956561300156,2.0219065298307
224,2,43,1, ,2, ,2,1,1,5,4,4,5,4,4,3,4,5,5,5,4,4,5,6,6,6,5,5,6,6,3,4,4,4,3,4,5,4,3,4,3,3,3,3,4,4,5,8,7,8,7,6,4,6,7,6,-.44201679969636,1.42590561171141,.964833977758214,.504442937912773
236,2,27,1, ,1,27,1,1,3,5,5,3,4,5,5,2,6,5,6,6,7,6,4,6,7,6,4,6,5,7,5,1,3,5,7,3,4,6,4,6,3,5,5,4,4,1,3,5,7,5,7,5,2,6,3,6,-.44201679969636,-1.23675486730071,.964833977758214,.504442937912773
241,2,27,1,1,1,24,1,1,1,6,6,4,6,5,5,5,5,4,5,5,4,7,5,5,5,5,5,7,5,4,5,3,7,6,6,7,5,6,7,7,4,5,5,5,3,4,3,8,7,9,7,5,2,6,7,7,-.44201679969636,.538352118707369,2.53429724824491,1.26317473387174
257,2,31,1,1,2, ,1,1,0,4,5,4,3,3,5,4,5,4,3,2,4,5,6,6,6,6,5,6,6,5,6,3,4,6,4,3,5,5,6,6,5,4,6,6,4,5,3,5,4,3,1,2,8,4,3,6,-.44201679969636,-.349201374296671,.964833977758214,-.254288858046192
263,2,56,1,4,1,27,3,1,2,5,4,4,6,3,6,1,6,5,3,5,6,3,4,6,4,5,6,5,5,6,6,6,6,6,3,2,2,5,6,6,3,4,6,3,4,2,2,4,6,6,7,6,2,7,3,6,-.44201679969636,1.42590561171141,.964833977758214,1.26317473387174
272,2,29,1,2,1,20,2,2,2,3,6,5,5,5,2,4,3,3,5,5,6,2,3,2,3,5,3,2,3,3,3,6,2,2,3,3,2,3,2,5,5,2,3,3,5,6,5,2,2,3,3,4,5,4,6,5,-.44201679969636,.538352118707369,.964833977758214,-.254288858046192
275,2,29,1,2,1,21,2,2,0,6,3,5,6,4,3,6,7,6,5,3,5,3,5,2,4,3,2,4,3,4,4,6,3,1,3,4,3,2,3,2,1,3,5,6,5,5,4,6,9,7,6,8,6,7,9,5,.394169620347785,.538352118707369,.180102342514866,.504442937912773
279,2,44,1,3,2, ,3,3,0,1,1,1,1,2,1,1,1,4,1,4,1,5,5,5,4,5,1,3,3,3,4,4,7,7,6,5,1,2,4,4,5,5,5,4,6,6,6,1,2,1,1,1,2,2,3,1,-.44201679969636,-1.23675486730071,-.604629292728481,-.254288858046192
288,2,28,1,3,1,18,10,15,10,1,3,1,7,1,2,1,2,3,1,3,1,6,6,6,6,6,6,6,7,7,7,6,2,3,2,7,7,7,1,1,7,7,7,7,5,5,6,2,4,4,8,2,2,2,3,2,-.44201679969636,-1.23675486730071,.180102342514866,-1.77175244996412
310,1,26,1,1,2, ,1,1,3,7,2,5,7,2,4,5,7,2,4,3,6,3,2,5,4,6,2,4,5,3,4,6,1,2,6,3,4,2,3,2,3,1,6,4,1,6,4,5,3,4,8,1,7,5,7,3,-.44201679969636,-.349201374296671,.964833977758214,-1.01302065400516
311,1,29,1,1,1,20,1,1,6,5,4,4,5,4,6,5,4,4,3,4,4,3,3,3,4,4,3,2,4,4,4,5,3,2,3,4,4,5,4,3,2,3,4,3,5,6,4,4,7,6,7,7,4,7,8,6,-1.27820321974051,-.349201374296671,.180102342514866,-1.01302065400516
313,1,33,1,5,1,20,16,1,2,1,4,4,5,4,4,2,4,5,5,5,6,5,4,6,4,3,4,5,4,5,4,5,4,6,4,3,5,3,5,4,5,3,4,5,4,4,4,6,5,4,6,5,5,5,5,7,1.23035604039193,-.349201374296671,1.74956561300156,.504442937912773
319,1,35,3,2,1,22,1,0,0,2,1,2,6,2,7,7,4,1,6,2,1,2,6,3,2,6,1,7,3,5,3,4,7,6,3,5,6,5,2,3,6,4,3,5,4,3,4,7,1,2,3,5,6,3,6,1,-.44201679969636,2.31345910471545,.964833977758214,-.254288858046192
325,1,25,1,3,1,20,2,3,2,6,6,7,5,4,7,5,4,6,7,4,6,4,2,1,3,4,5,2,4,3,3,7,3,4,2,1,3,4,3,3,2,2,3,4,6,6,5,7,5,8,6,8,3,8,5,8,-.44201679969636,-.349201374296671,.964833977758214,1.26317473387174
327,1,28,1,3,1,18,2,2,2,5,4,5,3,4,5,6,3,3,3,4,4,4,3,3,3,3,4,3,3,5,5,3,6,5,3,6,4,4,5,5,5,5,4,5,4,3,4,7,6,7,6,8,5,6,6,5,-.44201679969636,.538352118707369,.180102342514866,-1.01302065400516
344,1,30,1,2,1,18,3,1,1,5,3,5,5,3,3,4,5,4,3,3,5,5,4,3,4,5,5,4,4,3,3,4,5,5,4,4,3,4,5,5,4,3,4,5,3,4,5,6,5,4,4,5,4,7,5,4,-.44201679969636,-.349201374296671,.180102342514866,.504442937912773
356,1,37,1,3,1,21,4,4,1,5,6,5,4,6,5,4,5,6,5,6,4,4,2,3,3,4,3,2,3,4,3,6,3, ,5,2,3,2,3,3,2,5,3,2,6,5,5,2,2,3,1,4,7,7,4,5,.394169620347785,.538352118707369,.964833977758214,.504442937912773
367,1,28,1,2,1,21,3,1,35,3,6,5,5,5,6,6,5,4,4,3,4,4,3,7,6,5,7,7,6,6,7,2,1,1,2,1,4,2,4,5,4,3,3,4,1,1,4,7,7,8,3,3,6,5,6,7,.394169620347785,1.42590561171141,.964833977758214,-1.01302065400516
376,1,28,1,3,1,22,2,1,1,5,5,5,5,3,4,5,5,3,5,3,6,4,3,5,6,6,5,3,5,4,6,4,6,4,4,5,3,5,3,5,3,4,6,3,2,4,3,6,4,4,6,4,5,6,4,6,.394169620347785,.538352118707369,.964833977758214,.504442937912773
379,1,27,1,3,1,16,7,6,8,1,1,4,7,4,2,4,4,4,4,2,2,1,1,2,2,2,2,7,6,4,2,2,1,1,2,7,7,7,1,1,1,1,6,1,1,1,1,2,1,3,9,9,9,4,3,5,.394169620347785,.538352118707369,-1.38936092797183,.504442937912773
384,1,29,1,1,1,18,1,1,1,6,5,4,7,6,4,6,5,3,5,5,3,2,1,2,4,3,1,3,1,2,3,7,2,2,1,3,2,2,3,3,4,2,3,3,5,7,7,4,2,3,8,6,4,6,8, ,.394169620347785,.538352118707369,.964833977758214,-.254288858046192
28,1,33,1,2,1,18,2,1,1,6,7,5,6,5,6,5,7,6,4,6,7,4,2,3,2,1,3,4,3,3,4,6,4,2,3,2,1,3,4,4,2,3,2,2,7,4,6,3,2,2,9,7,2,6,8,7,.394169620347785,1.42590561171141,.964833977758214,.504442937912773
30,1,35,2,4,1,14,1,1,0,1,4,1,6,1,1,1,4,4,1,1,4,1,1,1,1,1,4,2,4,4,4,5,3,3,2,4,4,4,1,1,2,2,4,4,5,6,2,1,4,1,9,9,9,9,7,9,1.23035604039193,.538352118707369,.964833977758214,-.254288858046192
33,1,27,1,1,1,22,1,1,3,5,5,5,4,5,5,5,3,6,5,5,4,3,4,4,2,3,3,4,2,3,3,5,4,5,2,4,3,3,4,3,2,2,3,4,5,4,6,3,3,2,1,2,6,1,2,1,-.44201679969636,-.349201374296671,-.604629292728481,-.254288858046192
35,1,42,1,1,1,30,1,1,0,4,1,4,4,4,5,1,1,7,1,7,1,4,4,4,6,4,7,1,1,4,2,2,1,1,1,4,4,7,4,4,2,4,7,4,4,3,7,1,1,1,1,1,3,4,2,2,-2.11438963978465,-2.12430836030475,-.604629292728481,-.254288858046192
110,1,29,1,1,1,28,1,1,3,6,4,3,6,7,6,4,7,6,4,7,5,2,1,2,2,2,1,4,3,1,3,7,1,2,1,1,3,1,1,4,1,5,2,1,6,4,6,1,1,1,5,3,8,4,2,4,-.44201679969636,-.349201374296671,.964833977758214,-.254288858046192
115,1,36,1,5,1,17,5,1,1,7,6,7,6,6,5,7,4,7,5,7,4,6,7,5,7,5,6,5,6,7,6,1,5,7,5,5,6,6,5,4,6,5,7,5,2,3,4,1,5,5,4,5,8,2,2,4,.394169620347785,.538352118707369,1.74956561300156,.504442937912773
122,2,26,1,2,1,25,1,1,3,5,3,4,6,5,6,7,3,7,4,6,7,2,3,5,4,4,2,4,5,4,5,7,5,4,7,6,5,5,6,6,5,6,5,4,6,5,6,3,3,2,8,6,3,5,7,6,-.44201679969636,-.349201374296671,.180102342514866,.504442937912773
129,2,41,2,4,1,18,2,0,0,4,4,3,6,2,3,6,4,6,2,6,5,4,3,3,5,2,3,3,4,5,3,2,7,3,5,5,4,5,2,2,3,4,5,1,2,3,3,2,1,2,1,1,3,1,2,1,-1.27820321974051,-1.23675486730071,-.604629292728481,-1.01302065400516
140,2,44,1,3,1,16,3,1,0,1,1,1,6,1,1,1,1,7,1,6,1,2,2,3,7,3,7,7,7,7,7,6,7,1,1,7,7,7,2,3,3,1,7,2,1,1,1,1,1,1,1,1,9,1,1,1,-1.27820321974051,-.349201374296671,-1.38936092797183,-.254288858046192
145,2,29,1,2,2, ,0,0,0,6,3,5,3,4,5,1,5,2,3,3,4,6,5,3,5,7,5,4,2,4,5,4,4,3,5,4,6,4,5,7,4,2,1,3,1,4,3,2,1,1,3,2,8,5,4,3,-1.27820321974051,-2.12430836030475,-1.38936092797183,.504442937912773
183,2,58,1,3,1,18, ,0,2,1,5,1,6,1,1,1,5,7,1,7,7,3,3,3,4,3,7,6,7,7,7,7,7,1,4,7,7,7,3,7,3,1,1,1,5,1,1,2,9,9,1,1,1,2,2,2,-1.27820321974051,-1.23675486730071,-.604629292728481,.504442937912773
197,2,41,2,6,1,17,5,1,2,2,2,2,6,2,2,4,3,6,3,6,3,3,2,2,2,2,4,5,3,4,2,4,4,2,5,5,4,4,2,2,4,2,3,3,2,3,5,3,1,6,5,5,5,3,3,3,.394169620347785,.538352118707369,-.604629292728481,-.254288858046192
249,2,66,1,2,1,21,2,2,2,1,7,1,4,1,1,1,7,4,4,7,1,4,5,5,6,6,6,2,4,5,5,7,7,1,1,7,7,7,7,7,7,4,7,7,1,1,1,2,2,1,7,7,9,2,2,2,-2.11438963978465,-1.23675486730071,-1.38936092797183,-.254288858046192
306,1,38,1,10,1,27,1,1,4,6,6,6,5,5,6,4,5,4,5,5,6,6,7,7,6,6,7,7,6,7,7,3,6,5,6,4,5,6,6,6,7,7,5,6,3,2,3,1,1,1,1,1,8,2,2,2,-.44201679969636,-.349201374296671,-1.38936092797183,.504442937912773
315,1,29,1,10,1,26,1,1,4,1,3,5,3,5,3,7,5,3,5,4,6,2,4,3,7,5,7,3,4,7,3,3,4,7,6,3,5,4,7,3,7,5,7,6,5,3,1,3,7,5,6,8,6,4,8,6,1.23035604039193,.538352118707369,.180102342514866,1.26317473387174
317,1,29,1,5,1,14,12,5,4,5,5,4,5,3,4,5,5,6,3,5,5,6,5,4,6,5,4,5,6,4,5,2,4,6,5,4,6,5,4,3,2,3,2,2,6,6,6,7,6,4,6,7,4,6,7,3,.394169620347785,.538352118707369,1.74956561300156,1.26317473387174
330,1,25,1,5,1,18,5,2,2,4,5,6,5,5,4,5,5,4,5,4,5,4,5,6,5,6,5,6,5,6,4,3,6,5,6,5,6,5,6,4,5,6,5,6,3,2,3,5,6,6,6,7,4,6,7,6,-.44201679969636,.538352118707369,.964833977758214,-.254288858046192
332,1,34,1,5,1,18,11,2,2,3,5,3,6,3,3,3,4,5,3,4,3,2,4,3,3,3,4,5,4,5,5,5,1,1,2,5,7,5,2,1,3,3,3,3,2,4,2,2,1,2,7,8,8,9,7,9,1.23035604039193,1.42590561171141,.964833977758214,-.254288858046192
333,1,29,1,2,2, ,3,1,2,5,4,5,4,3,4,5,4,3,4,5,4,5,4,3,4,5,5,4,3,4,3,4,5,5,4,3,4,3,5,3,4,5,5,4,5,4,3,3,2,4,5,4,5,4,5,4,-.44201679969636,-.349201374296671,.964833977758214,-.254288858046192
348,1,47,1,1,1,27,1,1,1,5,4,3,4,3,2,2,2,5,2,6,2,4,3,5,6,4,7,3,3,3,3,2,2,1,2,4,4,5,3,4,3,5,5,5,2,2,4,1,1,1,1,1,1,1,1,1,-1.27820321974051,-1.23675486730071,-1.38936092797183,-.254288858046192
351,1,30,1,1,1,16,2,2,2,5,4,4,5,5,3,5,6,6,5,5,5,6,5,6,5,5,5,6,6,6,5,3,5,6,6,5,4,5,4,5,5,7,6,6,2,3,2,4,4,2,2,4,6,4,6,8,-.44201679969636,-.349201374296671,.180102342514866,-1.01302065400516
352,1,33,1,4,1,16,2,1,10,6,7,5,4,6,7,4,7,4,6,7,5,3,2,4,3,2,2,3,3,2,4,6,3,4,2,3,1,2,2,3,1,3,1,1,4,5,4,3,7,5,9,7,4,4,5,8,.394169620347785,.538352118707369,-.604629292728481,.504442937912773
370,1,56,1,20,1,18,30,1,10,5,2,5,5,2,2,3,2,6,2,6,2,3,3,5,5,3,5,5,5,5,5,5,2,2,3,5,5,5,4,4,5,5,5,5,3,3,3,1,1,1,1,1,9,7,7,7,.394169620347785,.538352118707369,.964833977758214,-1.77175244996412
372,1,28,1,2,2, ,0,0,0,5,3,5,3,4,2,3,4,3,4,3,4,3,3,4,6,3,5,5,3,4,4,4,4,3,5,4,3,4,5,4,3,4,5,4,5,4,4,2,4,2,4,3,5,3,4,3,-2.11438963978465,-.349201374296671,-.604629292728481,-.254288858046192
377,1,28,1,2,1,19,2,1,0,1,5,1,4,1,1,1,5,7,1,4,5,3,2,2,2,2,3, ,1,3,2,3,3,2,3,5,6,7,3,3,3,2,3,4,2,4,3,1,1,1,9,2,4,1,1,1,-2.11438963978465,-1.23675486730071,-.604629292728481,-1.01302065400516
21,1,30,1,5,1,14,25,1,7,4,4,4,6,4,4,4,4,5,4,6,5,6,6,6,6,6,5,5,4,5,5,5,6,6,5,4,4,4,6,6,6,6,6,6,6,3,5,2,7,7,5,5,5,5,6,4,.394169620347785,.538352118707369,-1.38936092797183,-.254288858046192
22,1,30,1,1,2, ,1,1,12,7,5,2,7,2,2,2,6,5,3,6,6,5,3,5,5,5,6,2,1,1,2,3,2,2,1,2,5,2,3,5,3,3,3,5,1,2,3,2,2,2,1,2,2,1,1,1,.394169620347785,.538352118707369,-.604629292728481,1.26317473387174
23,1,30,2,1,1,28,1,0,0,1,2,1,5,1,1,1,2,6,1,5,6,3,3,5,7,6,7,7,7,7,7,7,7,7,7,7,7,7,2,2,4,7,7,7,2,5,7,1,2,1,8,1,4,7,5,4,.394169620347785,.538352118707369,.964833977758214,-.254288858046192
24,1,30,1,1,2, ,0,0,0,1,1,1,1,1,6,6,6,6,6,7,5,5,4,5,5,6,7,3,5,5,5,2,5,6,6,7,5,6,6,5,5,5,6,6,3,3,2,1,1,2,3,8,3,2,3,2,-1.27820321974051,-.349201374296671,-.604629292728481,-.254288858046192
25,1,25,1,2,1,25,2,2,3,6,6,6,7,6,7,6,5,6,5,6,6,2,1,2,2,2,3,1,2,2,3,6,2,1,1,1,1,2,1,1,1,1,2,2,2,6,2,3,2,1,2,3,2,2,2,3,1.23035604039193,.538352118707369,.180102342514866,1.26317473387174
26,1,29,1,3,1,19,3,2,6,6,6,6,6,2,7,4,7,7,1,7,6,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,4,4,1,4,1,1,1,1,1,4,1,3,2,2,1,5,3,4,3,2,-.44201679969636,-.349201374296671,-.604629292728481,1.26317473387174
27,1,24,1,6,1,18,8,3,12,5,6,2,7,2,6,5,6,7,5,6,5,2,1,2,3,2,4,6,5,4,3,3,7,7,7,7,7,7,1,2,3,2,3,4,2,3,1,4,3,5,8,8,8,7,6,6,1.23035604039193,.538352118707369,.964833977758214,1.26317473387174
