ID,DATA_SET,SEX,ICS1,ICS2,ICS3,ICS4,ICS5,ICS6,ICS7,ICS8,ICS9,ICS10,ICS11,ICS12
1,1,0,2,3,3,3,2,2,3,1,5,3,3,2
2,1,0,2,5,2,3,2,2,3,2,5,5,5,2
3,1,0,1,1,1,3,2,1,1,2,5,5,2,2
4,1,0,2,2,5,5,3,2,4,1,6,5,2,1
5,1,0,2,2,7,1,2,2,2,2,2,2,2,2
6,1,0,1,3,2,3,2,1,3,2,3,4,2,4
7,1,0,1,1,1,4,1,1,1,1,4,4,1,1
8,1,0,1,6,2,6,1,1,1,1,2,2,1,1
9,1,0,5,3,6,4,2,3,6,2,7,6,3,3
10,1,0,1,2,1,2,1,1,1,1,5,6,3,1
11,1,0,3,3,3,2,1,2,2,2,2,2,2,2
12,1,0,2,1,1,2,1,2,1,2,1,2,1,1
13,1,0,3,3,3,4,1,1,1,1,4,5,4,2
14,1,0,1,3,2,5,1,1,3,1,6,5,6,2
15,1,0,2,2,2,4,2,1,1,1,5,5,6,2
16,1,0,1,2,2,5,2,2,2,1,4,5,4,2
17,1,0,3,3,2,6,2,2,2,1,3,2,5,2
18,1,0,2,2,2,5,2,2,2,2,5,5,4,2
19,1,0,2,1,2,2,1,1,2,1,2,3,3,1
20,1,0,3,4,4,4,1,2,5,1,5,5,4,4
21,1,0,3,3,2,4,1,1,1,1,5,5,5,2
22,1,0,1,1,1,1,1,1,1,1,1,1,1,1
23,1,0,3,4,4,6,1,1,1,1,5,1,6,1
24,1,0,1,3,1,6,1,1,1,1,1,3,7,1
25,1,0,2,5,3,6,1,2,2,1,3,6,6,4
26,1,0,1,1,1,4,5,3,2,2,3,5,4,3
27,1,0,3,2,3,4,2,2,3,2,5,5,5,4
28,1,0,7,4,7,7,2,2,7,2,7,7,7,7
29,1,0,3,2,2,5,1,2,1,1,6,6,7,2
30,1,0,1,5,1,6,1,1,1,1,6,5,2,2
31,1,0,2,2,2,5,1,1,2,1,6,6,6,3
32,1,0,3,2,2,4,2,2,1,1,5,7,6,2
33,1,0,3,1,1,2,1,1,1,1,1,2,1,1
34,1,0,2,2,2,4,2,1,1,1,4,2,5,1
35,1,0,5,4,4,4,1,2,3,2,4,5,6,5
36,1,0,2,3,4,4,1,1,3,1,5,6,6,2
37,1,0,2,2,6,7,2,2,4,2,6,6,6,3
38,1,0,1,1,1,2,1,1,1,1,2,5,1,1
39,1,0,1,2,1,3,3,1,1,1,6,2,2,1
40,1,0,4,4,5,5,2,2,3,1,3,6,4,3
41,1,0,1,1,2,2,1,1,2,1,2,7,7,3
42,1,0,1,1,1,6,1,1,1,1,6,6,2,1
43,1,0,3,3,4,4,3,2,6,1,5,5,4,3
44,1,0,2,2,3,5,3,2,2,3,5,4,4,5
45,1,0,2,3,2,4,2,2,2,2,4,5,4,2
46,1,0,2,2,1,2,1,1,1,1,1,1,2,1
47,1,0,3,3,3,5,2,2,2,2,5,5,5,3
48,1,0,2,1,1,5,1,1,2,1,3,4,5,2
49,1,0,2,5,4,7,2,1,1,1,7,4,5,1
50,1,0,1,2,2,4,1,1,2,1,4,5,5,1
51,1,0,1,3,1,2,1,1,1,1,1,1,1,1
52,1,0,5,4,2,7,2,3, ,2,7,7,3,2
53,1,0,2,2,2,2,1,1,2,1,2,1,1,1
54,1,0,1,1,1,4,4,1,1,1,5,4,5,2
55,1,0,5,5,2,2,2,3,2,2,5,5,4,3
56,1,0,1,5,2,6,1,2,3,2,4,5,4,2
57,1,0,4,4,5,6,3,2,3,2,5,3,4,2
58,1,0,3,3,5,5,2,3,5,3,5,5,7,4
59,1,0,2,1,1,4,1,1,1,1,6,3,1,1
60,1,0,2,2,2,6,2,2,5,2,6,6,6,3
61,1,0,2,3,3,6,1,1,2,1,3,4,4,2
62,1,0, , , , , , , , , , , , 
63,1,0,2,2,2,6,2,2,2,2,2,2,5,2
64,1,0,2,2,2,4,4,4,3,1,3,3,5,2
65,1,0,2,2,4,6,2,2,2,2,6,6,3,3
66,1,0,5,5,5,5,4,2,2,2,6,6,5,5
67,1,0,5,3,2,6,2,2,2,3,4,5,4,3
68,1,0,2,2,2,4,2,3,4,4,5,6,7,4
69,1,0,2,2,2,4,1,2,2,2,4,5,5,2
70,1,0,2,2,2,2,2,2,3,2,4,4,4,2
71,1,0,2,1,1,2,2,1,1,1,2,4,4,1
72,1,0,2,2,2,3,1,1,1,1,4,3,2,2
73,1,0,1,1,2,2,1,1,3,1,1,2,2,1
74,1,0,6,4,4,6,3,6,3,4,6,6,4,3
75,1,0,2,2,1,2,2,1,2,1,2,3,4,4
76,1,0,2,2,2,3,1,1,2,3,2,2,2,1
77,1,0,2,2,2,3,2,2,2,2,4,3,7,2
78,1,0,1,1,1,1,1,1,1,1,1,1,1,1
79,1,0,4,5,2,5,2, ,5,4,5,6,5,3
80,1,0,6,5,3,7,2,2,3,1,7,6,6,5
81,1,0,6,6,6,4,4,4,3,3,4,5,5,2
82,1,0,1,2,1,3,2,1,3,2,2,3,3,1
83,1,0,1,1,1,3,1,4,2,1,7,3,5,2
84,1,0,1,2,5,7,1,1,4,1,7,7,7,1
85,1,0,1,1,1,3,1,1,1,1,2,3,1,1
86,1,0,5,4,1,6,1,2,1,1,5,6,4,2
87,1,0,1,1,2,3,1,2,6,1,7,1,1,1
88,1,0,4,6,5,5,2,3,4,6,5,5,4,5
89,1,0,1,1,1,4,1,1,1,1,1,3,3,1
90,1,0,4,5,1,7,1,2,2,2,2,6,4,4
91,1,0,2,2,1,6,1,1,1,1,5,4,5,2
92,1,0,2,2,2,3,2,2,2,2,4,4,6,2
93,1,0,1,3,4,2,2,2,4,1,3,6,5,5
94,1,0,3,3,3,3,3,3,3,3,3,3,3,3
95,1,0,1,1,1,3,1,1,1,1,1,1,3,1
96,1,0,4,4,5,5,3,4,5,3,5,6,5,4
97,1,0,2,2,3,6,3,2,4,2,6,6,5,5
98,1,0,2,1,2,3,7,2,1,1,5,2,2,1
99,1,0,2,4,4,4,4,4,4,4,5,5,4,4
100,1,0,1,1,1,5,1,1,3,4, ,3,1,1
101,1,0,2,1,1,1,1,1,1,1,2,3,1,1
102,1,0,1,2,1,3,3,2,1,1,1,2,2,2
103,1,0,2,2,2,6,1,1,2,1,5,5,5,2
104,1,0,2,3,1,5,2,1,3,1,5,4,2,1
105,1,0,2,2,2,4,2,2,1,2,3,5,4,1
106,1,0,1,1,1,3,1,1,1,1,1,1,1,1
107,1,0,6,4,2,6,1,1,3,1,4,7,5,2
108,1,0,1,2,2,5,1,1,1,1,5,5,5,1
109,1,0,1,1,1,4,1,1,1,1,4,5,4,1
110,1,0,1,1,3,4,2,3,4,1,6,5,4,5
111,1,0,6,7,4,7,1,1,1,1,7,7,7,7
112,1,0,3,1,1,3,1,3,1,1,4,1,3,1
113,1,0,1,4,1,7,1,1,7,1,7,1,7,4
114,1,0,4,2,1,4,4,4,4,4,4,4,4,4
115,1,0,2,3,2,5,2,3,2,2,3,4,3,5
116,1,0,3,4,2,3,2,1,1,2,3,3,1,1
117,1,0,5,6,5,6,2,2,5,2,5,5,5,5
118,1,0,2,2,4,5,2,2,2,1,6,6,7,2
119,1,0,1,2,2,4,1,1,2,1,3,3,1,1
120,1,0,7,2,3,6,1,5,2,1,3,5,3,4
121,1,0,2,3,2,4,2,2,2,2,3,3,2,2
122,1,0,2,2,2,6,2,2,2,2,6,7,6,2
123,1,0,1,2,2,4,1,1,1,1,4,4,5,2
124,1,0,3,3,2,7,2,4,2,6,5,4,3,2
125,1,0,1,2,1,4,3,3,3,3,2,2,1,1
126,1,0,5,3,5,5,2,2,5,2,6,6,6,6
127,1,0,2,2,1,2,1,1,1,1,1,1,2,3
128,1,0,2,2,2,4,2,3,2,2,6,3,3,2
129,1,0,3,4,3,5,2,1,4,1,4,3,2,1
130,1,0,3,2,3,5,3,2,2,2,6,6,6,3
131,1,0,3,4,5,6,2,3,3,2,5,5,4,5
132,1,0,4,5,2,6,3,2,4,3,6,7,7,2
133,1,0,3,3,3,3,4,4,4,5,5,5,4,2
134,1,0,4,5,4,6,2,6,2,2,4,6,4,2
135,1,0,2,1,1,2,2,2,1,1,1,4,3,6
136,1,0,1,1,1,7,1,1,1,1,5,5,5,1
137,1,0,2,2,2,6,2,2,1,1,3,3,6,4
138,1,0,1,2,1,4,2,1,1,1,4,5,5,3
139,1,0,1,1,2,2,1,1,1,1,6,4,2,1
140,1,1,2,2,2,4,2,2,2,2,5,2,2,2
141,1,1,4,3,4,4,2,2,3,1,3,3,3,3
142,1,1,4,5,5,6,2,1,1,1,1,4,4,1
143,1,1,4,4,5,5,3,1,1,1,2,2,2,2
144,1,1,2,2,2,2,2,2,2,2,3,2,2,2
145,1,1,3,2,4,4,1,1,2,3,3,4,5,3
146,1,1,2,4,3,4,2,2,1,1,4,2,2,1
147,1,1,2,1,1,1,1,1,1,1,2,2,1,1
148,1,1,1,1,1,4,1,1,1,1,1,2,1,1
149,1,1,3,3,4,4,2,1,2,1,6,5,5,2
150,1,1,4,4,3,5,4,3,4,3,3,5,4,5
151,1,1,4,4,2,4,2,2,3,2,5,5,2,4
152,1,1,2,2,3,2,2,2,2,2,2,3,2,2
153,1,1,1,1,4,2,1,1,3,1,3,2,1,1
154,1,1,5,6,3,5,4,3,5,3,7,4,6,4
155,1,1,2,3,2,4,2,2,2,2,3,3,3,1
156,1,1,1,2,1,2,1,1,2,1,4,2,1,1
157,1,1,2,2,2,4,2,1,1,1,2,2,2,2
158,1,1,4,5,4,5,3,3,3,1,4,4,4,3
159,1,1,3,4,2,5,1,1,2,1,1,2,3,1
160,1,1,2,2,2,2,2,1,2,3,1,3,2,1
161,1,1,1,1,2,1,1,1,1,1,3,4,1,1
162,1,1,1,1,1,1,1,1,1,1,1,1,1,1
163,1,1,2,2,2,2,2,2,2,2,2,3,2,2
164,1,1,1,2,3,1,1,1,2,1,4,2,1,1
165,1,1,2,2,2,2,3, ,2, ,6,2,1,2
166,1,1,2,2,3,4,1,1,2,1,3,3,1,1
167,1,1,3,1,2,2,1,1,2,1,4,3,3,2
168,1,1,4,5,3,6,3,3,3,3,4,6,5,3
169,1,1,7,2,2,2,2,2,2,2,5,5,3,1
170,1,1,1,1,1,1,1,3,1, ,5,3,1,1
171,1,1,2,1,2,4,5,1,1,2,3,3,2,2
172,1,1,3,4,5,5,2,2,2,2,7,6,6,2
173,1,1,3,3,4,4,1,1,1,1,3,2,1,2
174,1,1,3,2,3,3,2,1,1,1,7,3,2,2
175,1,1,2,1,2,2,2,1,1,1,2,6,2,1
176,1,1,1,3,1,3,1,1,1,1,2,3,3,2
177,1,1,2,6,1,3,1,1,1,1,2,1,1,2
178,1,1,1,1,1,3,1,1,1,1,1,3,1,1
179,1,1,4,4,4,4,2,2,2,2,5,4,2,2
180,1,1,1,1,1,1,1,1,1,1,1,1,1,1
181,1,1,5,4,4,6,1,1,2,1,4,7,3,2
182,1,1,5,5,5,5,2,2,2,2,5,5,4,2
183,1,1,2,3,2,6,2,2,1,1,2,2,1,1
184,1,1,3,6,6,4,2,3,3,3,3,3,3,3
185,1,1,3,3,3,5,2,2,3,3,4,3,4,3
186,1,1,2,2,2,3,1,1,1,1,1,1,2,1
187,1,1,1,1,2,2,1,1,1,1,3,2,1,1
188,1,1,3,4,3,4,1,1,1,1,3,3,2,1
189,1,1,4,3,3,4,2,2,2,2,4,5,5,3
190,1,1,2,2,2,3,2,2,2,2,3,3,2,2
191,1,1,2,2,2,2,1,1,1,1,1,2,1,1
192,1,1,7,7,5,7,1,1,1,2,7,7,2,2
193,1,1,2,2,2,6,2,2,2,2,4,2,2,2
194,1,1,2,5,7,5,2,1,6,1,5,4,2,1
195,1,1,4,5,3,5,3,2,2,5,5,5,5,4
196,1,1,1,1,1,1,1,1,1,1,1,2,1,1
197,1,1,2,2,2,5,1,1,2,1,4,5,5,1
198,1,1,5,5,4,6,1,1,3,1,6,4,1,2
199,1,1,3,2,3,3,1,1,1,1,2,3,1,1
200,1,1,2,1,1,1,1,1,1,1,2,2,1,1
201,1,1,3,5,4,5,2,1,1,1,5,4,2,2
202,1,1,3,3,3,4,3,2,3,2,4,3,3,2
203,1,1,4,4,3,4,4,2,2,2,5,5,4,2
204,1,1,5,3,6,2,4,4,3,5,2,3,3,2
205,1,1,3,1,2,3,3,2,2,2,4,4,2,2
206,1,1,2,3,1,5,1,1,1,1,1,1,1,1
207,1,1,1,1,1,1,1,1,1,1,1,1,1,1
208,1,1,2,3,3,4,2,2,2,2,6,3,2,2
209,1,1,3,3,5,5,2,2,4,2,5,5,3,3
210,1,1,3,3,2,2,1,1,1,1,2,3,2,2
211,1,1,3,3,5,5,3,2,5,2,5,5,5,2
212,1,1,2,3,2,5,1,1,2,1,5,4,2,1
213,1,1,3,3,4,5,1,1,2,1,3,3,3,3
214,1,1,5,2,4,5,1,1,1,1,4,4,1,1
215,1,1,1,1,1,3,7,1,1,7,4,2,1,1
216,1,1,6,6,5,6,4,4,4,3,4,5,4,4
217,1,1,1,2,4,5,1,1,1,1,5,5,6,2
218,1,1,2,2,2,4,2,2,2,2,4,2,2,2
219,1,1,5,5,5,4,1,1,1,1,4,4,4,3
220,1,1,5,6,5,6,2,2,2,1,5,5,5,4
221,1,1,3,5,7,7,6,1,4,1,7,7,7,3
222,1,1,2,1,2,2,1,1,2,2,2,2,2,2
223,1,1,4,5,5,6,6,4,3,5,6,6,7,4
224,1,1,7,4,7,7,3,6,6,6,7,7,7,7
225,1,1,2,2,2,4,1,1,2,1,6,3,1,1
226,1,1,4,2,5,5,2,2,2,2,3,5,4,2
227,1,1,2,2,2,5,2,2,1,1,3,4,4,2
228,1,1,3,3,4,3,1,1,2,1,3,5,5,2
229,1,1,4,4,6,6,1,1,3,1,6,5,4,4
230,1,1,2,2,3,3,4,2,2,2,5,3,2,2
231,1,1,1,1,1,1,1,1,1,1,4,1,1,1
232,1,1,1,2,5,5,1,1,2,1,6,6,6,4
233,1,1,2,2,3,4,1,1,2,1,2,2,2,2
234,1,1,4,4,3,4, ,1,1,2,4,2,3,1
235,1,1,3,3,2,5,4,5,3,5,5,5,5,3
236,1,1,6,6,3,7,1,3,2,2,6,7,6,2
237,1,1,2,2,4,3,1,1,1,1,1,3,2,2
238,1,1,5,4,3,5,2,3,3,2,2,3,2,2
239,1,1,2,2,4,5,1,1,3,1,5,6,5,2
240,1,1,4,5,5,5,2,2,4,2,4,4,5,3
241,1,1,6,2,1,2,1,1,1,1,1,1,1,1
242,1,1,2,3,4,4,1,1,1,1,6,6,3,3
243,1,1,4,5,3,3,2,1,1,1,3,4,2,4
244,1,1,1,2,1,2,1,1,1,1,1,1,1,1
245,1,1,3,2,4,4,1,1,1,1,6,6,4,3
246,1,1,4,4,5,5,2,1,1,1,3,4,2,1
247,1,1,4,5,5,5,3,2,2,2,5,5,4,5
248,1,1,1,1,1,1,1,1,1,1,1,1,1,1
249,1,1,2,2,6,6,2,4,3,3,7,7,5,4
250,1,1,1,1,1,1,1,1,1,1,1,1,1,1
251,1,1,2,2,5,3,2,1,3,1,4,5,4,3
252,1,1,3,4,4,4,3,3,4,2,4,5,4,3
253,1,1,2,2,2,3,1,1,1,1,5,3,2,1
254,1,1,1,1,1,1,1,1,1,1,2,2,1,2
255,1,1,2,2,2,2,1,1,1,1,2,2,2,1
256,1,1,1,2,1,3,1,5,1,1,1,3,1,1
257,1,1,4,5,5,5,1,1,4,1,5,6,5,5
258,1,1,1,2,5,1,1,1,1,1,1,1,1,1
259,1,1,1,1,1,2,1,1,1,1,6,6,5,1
260,1,1,6,6,3,5,3,2,2,2,5,5,2,2
261,1,1,2,6,7,3,1,1,1,1,5,4,5,1
262,1,1,2,3,1,2,1,1,1,1,5,4,5,2
263,1,1,3,1,3,2,1,2,2,1,3,2,2,1
264,1,1,2,1,1,1,1,1,1,1,7,5,5,1
265,1,1,1,2,1,2,1,1,1,1,3,3,1,2
266,1,1,1,1,1,2,7,1,1,1,1,1,1,1
267,1,1,6,5,5,5,4,2,2,3,5,5,2,3
268,1,1,2,2,2,3,1,1,1,1,2,2,1,1
269,1,1,4,5,3,4,2,2,2,2,6,4,3,3
270,1,1,1,2,2,4,1,1,1,1,2,2,1,1
271,1,1,4,6,6,6,5,3,5,3,4,7,6,6
272,1,1,2,2,3,3,1,1,2,1,3,3,2,2
273,1,1,1,1,1,1,1,1,3,2,1,2,1,1
274,1,1,2,2,4,4,1,1,2,1,2,4,1,1
275,1,1,5,5,4,5,1,1,2,1,3,4,4,5
276,1,1,5,6,5,5,4,3,4,2,5,5,4,4
277,1,1,2,2,2,2,2,1,2,1,2,2,2,2
278,1,1,2,1,3,4,1,1,1,1,4,4,2,2
279,1,1,2,5,5,5,1,1,5,1,6,6,6,2
280,1,1,2,2,3,3,1,1,2,1,2,2,2,1
281,1,1,5,4,3,5,2,2,2,2,4,3,2,2
282,1,1,1,1,2,2,1,1,1,1,2,3,3,1
283,1,1,4,4,3,6,1,1,1,1,1,1,1,1
284,1,1,1,2,2,5,1,1,1,1,2,5,3,2
285,1,1,5,6,6,7,1,1,1,1,7,7,3,4
286,1,1,1,3,2,6,1,1,1,1,4,4,1,1
287,1,1,1,1,2,2,1,1,2,1,2,2,1,1
288,1,1,5,5,6,5,5,1,1,1,6,7,7,2
289,1,1,3,1,3,1,3,1,1,3,4,6,3,1
290,1,1,2,2,2,4,1,1,1,1,2,2,1,1
291,1,1,3,3,2,4,1,1,1,1,3,3,2,2
292,1,1,2,2,3,1,2,1,1,5,3,3,4,4
293,1,1,3,3,3,5,3,2,3,3,4,6,6,3
294,1,1,2,3,6,4,1,1,2,1,1,1,1,2
295,1,1,2,2,3,3,1,1,1,1,1,2,1,1
296,1,1,1,1,1,1,1,1,1,1,1,1,1,1
297,1,1,3,3,5,5,1,1,4,2,2,5,1,2
298,1,1,2,3,2,4,1,1,1,1,3,2,1,1
299,1,1,4,3,1,2,3,2,2,2,5,5,6,3
300,1,1,2,4,3,5,2,2,3,2,6,5,3,2
301,1,1,2,3,1,4,1,1,1,1,2,6,7,1
302,1,1,1,2,2,2,1,2,1,1,3,5,1,1
303,1,1,3,3,3,4,1,1,3,1,2,4,2,2
304,1,1,4,2,1,2,2,1,1,1,5,2,2,1
