ID,Age,IC,SOIR_GLOBAL,BPAQSF_A,BPAQSF_H,RES_1
001,22,2.58333333333333,3,3.5,2.33333333333333,170.711817234937
002, ,1.08333333333333,4.11111111111111,1,1.33333333333333,-101.58128782326
003, ,2.41666666666667,5.33333333333333,1,4,-86.2848220689749
004,19,3.08333333333333,4.88888888888889,3,5,71.852485035537
006,18,3.25,2.55555555555556,3,3.66666666666667,21.2281533545127
007,20,2.58333333333333,4.11111111111111,2,1.66666666666667,-92.7902514971998
008,26,2.91666666666667,5.22222222222222,3.5,4,-79.4863531863949
009, ,1.83333333333333,5.11111111111111,1,4,11.2237132109415
011,21,2.91666666666667,6.11111111111111,6,2.66666666666667,-55.8603676959895
012,19,1.08333333333333,3.77777777777778,3.5,4,-58.8090370426591
013,18,2,3.77777777777778,2.5,4.33333333333333,-76.775042630745
014,21,1.58333333333333,3.33333333333333,1.5,2,128.588382898616
015,19,1.41666666666667,4.66666666666667,5.5,5.66666666666667,-138.547525940976
016,19,3.08333333333333,4.11111111111111,1,3.66666666666667,20.0492123879804
017,19,1.58333333333333,6.22222222222222,1,1.66666666666667,-131.467196619529
018,20,2.75,5.33333333333333,2.5,4.33333333333333,69.5678771239595
019,18,2.25,4,6,6.66666666666667,154.405379976956
020,21,3.16666666666667,4.55555555555556,4.5,6,-32.7531198294975
021,25,1.25,4.44444444444444,1.5,2.33333333333333,221.864500131692
022,19,1.25,3.11111111111111,1.5,1.66666666666667,-90.5905241585162
023,20,3.08333333333333,5.33333333333333,1,3,30.5155656630323
025,21,1.91666666666667,6.33333333333333,1,2.33333333333333,-33.6266037626353
026,18,1.58333333333333,4.33333333333333,1,1,-23.6396909062726
027,19,2.25,3.11111111111111,2.5,1.66666666666667,-1.20762837136856
028,19,3.25,4.33333333333333,1,3,-142.594506584301
029,21,1.16666666666667,4,1.5,1.33333333333333,231.391619831534
030,18,2.16666666666667,5.11111111111111,1.5,1.66666666666667,-123.346179518285
031,18,1.75,4.66666666666667,1.5,4.66666666666667,6.15939807405673
033,19,2,5.77777777777778,2.5,2,-121.59038508373
034,20,2.25,3.88888888888889,1,3,98.3537820686217
037,18,2.41666666666667,3.55555555555556,1,2,-66.8882630284355
038,19,2.25,6.77777777777778,3,5.66666666666667,73.1179511217234
040,19,1.83333333333333,3.44444444444444,1,1.66666666666667,16.1376365464528
041,20,3.58333333333333,5.11111111111111,5,5,-85.8584488465623
043,20,3.66666666666667,3.77777777777778,4,3.33333333333333,-24.5886143984195
046,20,1.5,3.44444444444444,1,1,-155.624551606475
047,22,2.41666666666667,4,3.5,4,62.6973417890659
048,18,1.83333333333333,3.77777777777778,6,3,-35.8156394024748
049,20,2.75,2.88888888888889,1.5,3.66666666666667,78.1276262971862
050,20,2.16666666666667,3,1,2.33333333333333,-142.622356296804
051,18,1.33333333333333,3.77777777777778,1,1.66666666666667,-70.0470831672183
052,22,1.08333333333333,3.44444444444444,1,2.33333333333333,-75.1903137457995
053,19,2.16666666666667,3.44444444444444,3,2,182.941920706784
054,19,3.58333333333333,3.22222222222222,3.5,3,-157.996094462064
056,18,2.41666666666667,4.55555555555556,2.5,2.66666666666667,34.6464482866126
057,21,2,4.33333333333333,2,1.66666666666667,15.0861793448528
058,19,4,4.22222222222222,2,3,75.7321540456038
059,19,2.18181818181818,4.55555555555556,1,2.66666666666667,165.689713759157
060,19,3.08333333333333,3.66666666666667,4,4,-26.5440748783578
061,19,1,3.88888888888889,1.5,3,-119.081598979613
062,18,2.5,4.66666666666667,2.5,4.33333333333333,-180.961487409784
063,20,2.33333333333333,5.11111111111111,2,4,63.4213371213777
064,20,2.58333333333333,4.66666666666667,1,5.66666666666667,192.814707634042
065,21,1.41666666666667,4.33333333333333,5,5,53.777166199363
066,18,2.25,2.77777777777778,4,5.33333333333333,143.955410160015
067,18,3.66666666666667,4.22222222222222,5.5,4.33333333333333,4.12060170240451
068,18,2.58333333333333,4,3,3,-5.84632363294193
071,18,3.33333333333333,4.33333333333333,2,2.66666666666667,137.376376239706
072,20,1.75,4.88888888888889,2,1,-23.1543657590843
074,20,1.83333333333333,3.77777777777778,1,2,-99.5003458614465
075,18,4.16666666666667,4.66666666666667,1,3.33333333333333,-148.450866238743
076,18,3,3.66666666666667,1,2,24.1499845014537
077,21,3.16666666666667,3.88888888888889,2,3,102.691484444467
078,18,1.91666666666667,5.88888888888889,1,1.66666666666667,-164.909289387599
079,20,1.16666666666667,3.33333333333333,2.5,2.66666666666667,-9.36517702646501
080,24,2.08333333333333,4.44444444444444,1,2.33333333333333,62.194813765722
081,20,1,3.88888888888889,3,4,227.995940686366
082,21,1.5,3.77777777777778,3,2.66666666666667,289.954235568359
083,19,3.16666666666667,6.77777777777778,1.5,1.66666666666667,147.261050082901
086,18,2.66666666666667,3.66666666666667,2.5,4.33333333333333,30.9791342932235
087,18,1.66666666666667,3.88888888888889,1,1.33333333333333,166.413529523255
088,19,3,4.33333333333333,3.5,3,88.2214616185772
089,18,1.83333333333333,3.33333333333333,2.5,2.33333333333333,49.1739521173882
090,18,1.91666666666667,5.66666666666667,2.5,2.33333333333333,168.958000379279
091,20,1.25,3.88888888888889,2.5,2.66666666666667,-4.14435207263128
092,18,2.25,4,1,3,9.86390747522436
093,19,3.41666666666667,7.55555555555556,2,6.33333333333333,-22.5641891806078
094,19,3.33333333333333,5.11111111111111,5.5,4.66666666666667,-222.111828580607
095,32,1.58333333333333,4.44444444444444,1,2.33333333333333,-112.116537085502
097,37,1.16666666666667,4.66666666666667,1.5,3.33333333333333,-.243827066374735
098,18,3.08333333333333,5.77777777777778,5,4.66666666666667,-22.795053456938
099,18,2.83333333333333,8.22222222222222,2,3,-144.415040780101
100,20,1.83333333333333,2.44444444444444,2,3.66666666666667,-8.45812843228915
101,20,1,3.22222222222222,2,2.66666666666667,-12.1609896762198
102,18,1.83333333333333,3.88888888888889,1.5,1.66666666666667,-60.2118541639709
103,19,3.33333333333333,3.77777777777778,2.5,4,-70.5117295555637
104,19,5.33333333333333,7.11111111111111,4,6,7.58174744537432
105,22,3,3.44444444444444,1.5,2.66666666666667,-74.6879703012759
106,19,1.08333333333333,5.66666666666667,3,4,-50.716901150592
107,19,3.83333333333333,4.77777777777778,1,2,-7.33859699240987
109,21,1.75,5.44444444444444,1,2,-125.505950808425
110,21,1.75,3.55555555555556,5,4,195.101008100571
111,18,3.25,4.11111111111111,2.5,4.33333333333333,-9.99947677399942
112,19,5.5,6.77777777777778,5,5.66666666666667,-84.1904875459599
113,21,2.33333333333333,4.55555555555556,1,2.66666666666667,-148.761937308447
114,21,2.83333333333333,5.77777777777778,2,1.66666666666667,103.990800215637
115,20,2.58333333333333,3,1,3.66666666666667,-20.0788127613324
117,37,1.63636363636364,2.88888888888889,2,3,-54.0292618826428
118,20,2.08333333333333,8.11111111111111,5.5,6.33333333333333,123.442286572411
119,20,1.16666666666667,4.77777777777778,3,4.33333333333333,66.1427091983812
120,20,2.66666666666667,6.66666666666667,1.5,3.33333333333333,110.737155441546
122,21,1.91666666666667,3.44444444444444,1,3.33333333333333,-33.6969706697159
123,40,2.5,2.44444444444444,1.5,3.66666666666667,-149.238800034389
124,20,3.33333333333333,4.44444444444444,4,4.66666666666667,45.9160467679392
125,19,2.58333333333333,5.11111111111111,4.5,4.33333333333333,-134.743261764544
126,20,2.41666666666667,4.33333333333333,1,4,-.206331251638713
